previous,current,gap_minutes,classification,category
2021-08-20 17:37:00,2021-08-20 17:39:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 17:42:00,2021-08-20 17:46:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 17:48:00,2021-08-20 17:50:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 18:04:00,2021-08-20 18:06:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 18:12:00,2021-08-20 18:17:00,5.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 18:20:00,2021-08-20 18:23:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 18:32:00,2021-08-20 18:34:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 18:47:00,2021-08-20 18:49:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 18:53:00,2021-08-20 18:55:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 19:02:00,2021-08-20 19:04:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 19:39:00,2021-08-20 19:41:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 19:41:00,2021-08-20 19:43:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-20 20:58:00,2021-08-22 21:00:00,2882.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 21:00:00,2021-08-22 21:07:00,7.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 21:08:00,2021-08-22 21:10:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 21:12:00,2021-08-22 21:14:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 21:25:00,2021-08-22 21:28:00,3.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 21:28:00,2021-08-22 21:30:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 21:33:00,2021-08-22 21:36:00,3.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 21:42:00,2021-08-22 21:44:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 21:47:00,2021-08-22 21:50:00,3.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
