Datetime,Direction,Pattern,Score,ADX,Close,SL,TP
2022-07-25 16:45:00,SELL,Bearish Inside Bar,6,34.850531989331216,1717.946,1719.54,1713.1639999999998
2022-07-26 12:15:00,SELL,Hanging Man,7,28.562802537286906,1717.379,1719.447,1711.175
2022-07-26 16:15:00,SELL,Bearish Inside Bar,6,32.93307729098319,1717.617,1719.256,1712.6999999999996
2022-08-01 12:00:00,BUY,Bullish Pin Bar,8,31.672006966876296,1773.021,1769.679,1783.0469999999996
2022-08-01 13:00:00,BUY,Morning Star,7,27.233563926906353,1772.708,1768.205,1786.2170000000006
2022-08-04 08:00:00,BUY,Bullish Inside Bar,7,41.304857076197955,1774.582,1772.327,1781.3470000000004
2022-08-08 14:00:00,BUY,Bullish Pin Bar,9,35.709681435054186,1785.238,1782.448,1793.608
2022-08-08 23:00:00,BUY,Bullish Engulfing,7,27.506888121097315,1788.809,1787.354,1793.1739999999998
2022-08-19 19:45:00,SELL,Bearish Inside Bar,6,33.29780477661835,1746.5,1747.79,1742.63
2022-08-22 10:00:00,SELL,Bearish Inside Bar,7,49.991296533142425,1736.087,1737.98,1730.408
2022-08-22 11:15:00,SELL,Bearish Inside Bar,8,43.547069750288635,1735.186,1736.316,1731.7959999999996
2022-08-25 05:45:00,BUY,Bullish Pin Bar,8,33.23253358494816,1757.045,1755.476,1761.752
2022-08-25 10:30:00,BUY,Bullish Pin Bar,9,42.043353277951375,1763.008,1761.309,1768.1050000000002
2022-08-26 14:15:00,SELL,Bearish Inside Bar,7,37.06978043141549,1746.019,1755.458,1717.7019999999998
2022-08-29 07:00:00,SELL,Evening Star,8,39.39789071572316,1722.752,1725.014,1715.9660000000001
2022-08-31 23:45:00,SELL,Hanging Man,6,36.97864900393494,1708.952,1710.351,1704.7549999999997
2022-09-06 18:15:00,SELL,Bearish Inside Bar,6,39.60029679089139,1700.353,1702.275,1694.587
2022-09-06 19:30:00,SELL,Evening Star,9,38.39554753687713,1700.361,1702.34,1694.4240000000007
2022-09-15 08:00:00,SELL,Hanging Man,9,46.25897043911084,1689.562,1690.451,1686.8949999999995
2022-09-15 12:00:00,SELL,Hanging Man,7,32.163871968725516,1686.88,1687.404,1685.3080000000004
2022-09-15 13:30:00,SELL,Hanging Man,7,28.438255151979046,1683.855,1684.65,1681.4699999999998
