context_type,family_id,gap_previous,gap_current,gap_minutes,date,year,month,weekday,previous_clock,current_clock,before_count,after_count,full_before_context,full_after_context,before_internal_gaps,after_internal_gaps,context_is_continuous,first_before_time,last_before_time,first_after_time,last_after_time,first_before_open,last_before_close,first_after_open,last_after_close,before_high,before_low,after_high,after_low,before_close_to_after_open_change
KNOWN_BOUNDARY,P33_C39_D64,2022-12-13 21:57:00,2022-12-13 23:01:00,64.0,2022-12-13,2022,12,Tuesday,21:57,23:01,5,5,True,True,0,0,True,2022-12-13 21:53:00,2022-12-13 21:57:00,2022-12-13 23:01:00,2022-12-13 23:05:00,1810.393,1810.692,1810.619,1811.036,1810.774,1810.165,1811.049,1810.276,-0.07300000000009277
KNOWN_BOUNDARY,P33_C39_D64,2022-12-14 21:57:00,2022-12-14 23:01:00,64.0,2022-12-14,2022,12,Wednesday,21:57,23:01,5,5,True,True,0,0,True,2022-12-14 21:53:00,2022-12-14 21:57:00,2022-12-14 23:01:00,2022-12-14 23:05:00,1807.6,1807.324,1807.034,1806.851,1807.644,1807.192,1807.156,1806.599,-0.2899999999999636
KNOWN_BOUNDARY,P33_C39_D64,2022-12-15 21:57:00,2022-12-15 23:01:00,64.0,2022-12-15,2022,12,Thursday,21:57,23:01,5,5,True,True,0,0,True,2022-12-15 21:53:00,2022-12-15 21:57:00,2022-12-15 23:01:00,2022-12-15 23:05:00,1776.692,1776.787,1776.599,1776.186,1776.79,1776.624,1776.703,1776.116,-0.18800000000010186
KNOWN_BOUNDARY,P33_C39_D64,2022-12-19 21:57:00,2022-12-19 23:01:00,64.0,2022-12-19,2022,12,Monday,21:57,23:01,5,5,True,True,0,0,True,2022-12-19 21:53:00,2022-12-19 21:57:00,2022-12-19 23:01:00,2022-12-19 23:05:00,1787.518,1787.69,1787.41,1787.396,1787.734,1787.474,1787.48,1787.034,-0.2799999999999727
KNOWN_BOUNDARY,P33_C39_D64,2022-12-20 21:57:00,2022-12-20 23:01:00,64.0,2022-12-20,2022,12,Tuesday,21:57,23:01,5,5,True,True,0,0,True,2022-12-20 21:53:00,2022-12-20 21:57:00,2022-12-20 23:01:00,2022-12-20 23:05:00,1817.962,1817.759,1817.772,1817.817,1818.168,1817.605,1818.04,1817.667,0.012999999999919964
KNOWN_BOUNDARY,P33_C39_D64,2022-12-21 21:57:00,2022-12-21 23:01:00,64.0,2022-12-21,2022,12,Wednesday,21:57,23:01,5,5,True,True,0,0,True,2022-12-21 21:53:00,2022-12-21 21:57:00,2022-12-21 23:01:00,2022-12-21 23:05:00,1814.21,1814.555,1813.885,1813.899,1814.6,1814.21,1814.267,1813.787,-0.6700000000000728
KNOWN_BOUNDARY,P33_C39_D64,2022-12-27 21:57:00,2022-12-27 23:01:00,64.0,2022-12-27,2022,12,Tuesday,21:57,23:01,5,5,True,True,0,0,True,2022-12-27 21:53:00,2022-12-27 21:57:00,2022-12-27 23:01:00,2022-12-27 23:05:00,1813.804,1813.656,1814.085,1813.643,1814.174,1813.64,1814.176,1813.496,0.4290000000000873
KNOWN_BOUNDARY,P33_C39_D64,2022-12-28 21:57:00,2022-12-28 23:01:00,64.0,2022-12-28,2022,12,Wednesday,21:57,23:01,5,5,True,True,0,0,True,2022-12-28 21:53:00,2022-12-28 21:57:00,2022-12-28 23:01:00,2022-12-28 23:05:00,1804.172,1804.192,1804.25,1805.017,1804.298,1804.029,1805.147,1803.677,0.057999999999992724
KNOWN_BOUNDARY,P33_C39_D64,2022-12-29 21:57:00,2022-12-29 23:01:00,64.0,2022-12-29,2022,12,Thursday,21:57,23:01,5,5,True,True,0,0,True,2022-12-29 21:53:00,2022-12-29 21:57:00,2022-12-29 23:01:00,2022-12-29 23:05:00,1815.138,1814.918,1814.618,1814.607,1815.189,1814.579,1814.786,1814.414,-0.2999999999999545
KNOWN_BOUNDARY,P33_C39_D64,2023-01-03 21:57:00,2023-01-03 23:01:00,64.0,2023-01-03,2023,1,Tuesday,21:57,23:01,5,5,True,True,0,0,True,2023-01-03 21:53:00,2023-01-03 21:57:00,2023-01-03 23:01:00,2023-01-03 23:05:00,1839.361,1839.57,1838.718,1838.486,1839.853,1839.277,1838.819,1838.336,-0.8519999999998618
