date,family_id,occurrences,first_previous_clock,last_previous_clock,first_current_clock,last_current_clock,median_gap_minutes,min_gap_minutes,max_gap_minutes,year,month,weekday
2022-03-01,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,3,Tuesday
2022-03-02,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,3,Wednesday
2022-03-03,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,3,Thursday
2022-03-07,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,3,Monday
2022-03-08,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,3,Tuesday
2022-03-09,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,3,Wednesday
2022-03-10,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,3,Thursday
2022-03-14,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2022,3,Monday
2022-03-15,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2022,3,Tuesday
2022-03-16,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2022,3,Wednesday
2022-03-17,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2022,3,Thursday
2022-03-21,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,3,Monday
2022-03-22,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,3,Tuesday
2022-03-23,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,3,Wednesday
2022-03-24,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,3,Thursday
2022-03-28,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,3,Monday
2022-03-29,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,3,Tuesday
2022-03-30,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,3,Wednesday
